year,month,route,destination_airport,total_flight_count,total_paid_passenger_count,carrier_count,lcc_carrier_count,lcc_share,passengers_per_flight
2023,7,ICN-TAK,TAK,0.0,11002.0,1,2,2.0,0
2023,8,ICN-CTS,CTS,0.0,143686.0,7,10,1.4286,0
2023,8,ICN-FSZ,FSZ,0.0,4262.0,1,2,2.0,0
2023,8,ICN-FUK,FUK,0.0,235826.0,7,6,0.8571,0
2023,8,ICN-HIJ,HIJ,0.0,4406.0,1,2,2.0,0
2023,8,ICN-HND,HND,0.0,18265.0,3,2,0.6667,0
2023,8,ICN-KIX,KIX,0.0,303313.0,9,12,1.3333,0
2023,8,ICN-KKJ,KKJ,0.0,9930.0,1,0,0.0,0
2023,8,ICN-KMJ,KMJ,0.0,9420.0,1,2,2.0,0
2023,8,ICN-MYJ,MYJ,0.0,6720.0,1,2,2.0,0
2023,8,ICN-NGO,NGO,0.0,58598.0,3,4,1.3333,0
2023,8,ICN-NRT,NRT,0.0,299027.0,11,12,1.0909,0
2023,8,ICN-OIT,OIT,0.0,4142.0,1,2,2.0,0
2023,8,ICN-OKA,OKA,0.0,46264.0,5,6,1.2,0
2023,8,ICN-SDJ,SDJ,0.0,3818.0,1,0,0.0,0
2023,8,ICN-TAK,TAK,0.0,10836.0,1,2,2.0,0
2023,9,ICN-CTS,CTS,0.0,84185.0,6,4,0.6667,0
2023,9,ICN-FSZ,FSZ,0.0,4046.0,1,2,2.0,0
2023,9,ICN-FUK,FUK,0.0,223016.0,7,10,1.4286,0
2023,9,ICN-HIJ,HIJ,0.0,3697.0,1,2,2.0,0
2023,9,ICN-HND,HND,0.0,20902.0,3,2,0.6667,0
2023,9,ICN-KIX,KIX,0.0,317456.0,9,15,1.6667,0
2023,9,ICN-KKJ,KKJ,0.0,9227.0,1,0,0.0,0
2023,9,ICN-KMI,KMI,0.0,524.0,1,0,0.0,0
2023,9,ICN-KMJ,KMJ,0.0,8356.0,1,2,2.0,0
2023,9,ICN-KOJ,KOJ,0.0,172.0,1,0,0.0,0
2023,9,ICN-MYJ,MYJ,0.0,6199.0,1,2,2.0,0
2023,9,ICN-NGO,NGO,0.0,63748.0,4,2,0.5,0
2023,9,ICN-NRT,NRT,0.0,289321.0,11,12,1.0909,0
2023,9,ICN-OIT,OIT,0.0,3842.0,1,2,2.0,0
2023,9,ICN-OKA,OKA,0.0,46561.0,5,4,0.8,0
2023,9,ICN-OKJ,OKJ,0.0,137.0,1,0,0.0,0
2023,9,ICN-SDJ,SDJ,0.0,3597.0,1,0,0.0,0
2023,9,ICN-TAK,TAK,0.0,11124.0,1,4,4.0,0
2023,10,ICN-CTS,CTS,0.0,81208.0,6,4,0.6667,0
2023,10,ICN-FSZ,FSZ,0.0,4813.0,1,2,2.0,0
2023,10,ICN-FUK,FUK,0.0,253215.0,8,12,1.5,0
2023,10,ICN-HIJ,HIJ,0.0,4613.0,1,2,2.0,0
2023,10,ICN-HND,HND,0.0,18253.0,2,2,1.0,0
2023,10,ICN-KIJ,KIJ,0.0,96.0,1,0,0.0,0
2023,10,ICN-KIX,KIX,0.0,361161.0,9,16,1.7778,0
