year,route,origin,destination,flight_count,passenger_count,cargo_ton,passengers_per_flight,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,avg_carrier_count,avg_lcc_share,avg_icn_total_flight_count,avg_icn_total_paid_passenger_count,avg_icn_passengers_per_flight,japan_country_passenger_count,japan_country_flight_count,japan_country_passenger_growth_rate,japan_country_flight_growth_rate,jpy_krw_rate,jpy_krw_change_rate_7d,jpy_krw_change_rate_30d,jpy_krw_change_rate_90d,holiday_count,holiday_names,demand_pressure_score,supply_pressure_score,exchange_pressure_score,competition_pressure_score,holiday_pressure_score,risk_score,risk_level,purchase_timing_recommendation,is_japan_route,japan_country_cargo_ton,japan_country_cargo_growth_rate,japan_country_passengers_per_flight
2023,인천(ICN)-삿보로(치토세)(CTS),인천(ICN),삿보로(치토세)(CTS),5640.0,1068294.0,12139.0,189.41,947.01,750.68,973.3,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,5,1,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-삿보로(치토세)(CTS),인천(ICN),삿보로(치토세)(CTS),6452.0,1320729.0,16128.0,204.7,23.63,14.4,32.86,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,4,3,2,4,1,14,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-삿보로(치토세)(CTS),인천(ICN),삿보로(치토세)(CTS),6609.0,1324811.0,15757.0,200.46,0.31,2.43,-2.3,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,2,4,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2023,인천(ICN)-센다이(SDJ),인천(ICN),센다이(SDJ),244.0,34317.0,432.0,140.64,0.0,0.0,0.0,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,2,4,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-센다이(SDJ),인천(ICN),센다이(SDJ),730.0,101175.0,1231.0,138.6,194.82,199.18,184.95,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,5,1,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-센다이(SDJ),인천(ICN),센다이(SDJ),518.0,78330.0,979.0,151.22,-22.58,-29.04,-20.47,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,1,5,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2023,인천(ICN)-시즈오카(FSZ),인천(ICN),시즈오카(FSZ),394.0,62899.0,561.0,159.64,0.0,0.0,0.0,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,2,4,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-시즈오카(FSZ),인천(ICN),시즈오카(FSZ),826.0,131793.0,1265.0,159.56,109.53,109.64,125.49,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,5,1,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-시즈오카(FSZ),인천(ICN),시즈오카(FSZ),1268.0,187203.0,1795.0,147.64,42.04,53.51,41.9,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,4,1,2,5,1,13,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2023,인천(ICN)-아오모리(AOJ),인천(ICN),아오모리(AOJ),18.0,1904.0,21.0,105.78,0.0,0.0,0.0,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,2,4,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
