year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2022,에티하드항공(ETD),234427.0,728.0,173758.0,13810.0,0.7412,238.68,,,,False
2023,에티하드항공(ETD),240334.0,754.0,205526.0,13502.0,0.8552,272.58,18.28,3.57,2.52,False
2024,에티하드항공(ETD),302161.0,1012.0,240312.0,17532.0,0.7953,237.46,16.93,34.22,25.73,False
2025,에티하드항공(ETD),341965.0,1134.0,287570.0,19735.0,0.8409,253.59,19.67,12.06,13.17,False
2026,에티하드항공(ETD),169226.0,504.0,148899.0,9487.0,0.8799,295.43,-48.22,-55.56,-50.51,False
2022,엘알이스라엘화물항공(ELY),0.0,4.0,0.0,38.0,0.0,0.0,,,,False
2022,오로라항공(SHU),2560.0,20.0,1137.0,37.0,0.4441,56.85,,,,False
2022,오케이항공(OKA),0.0,12.0,0.0,34.0,0.0,0.0,,,,False
2024,오케이항공(OKA),9450.0,50.0,7269.0,67.0,0.7692,145.38,inf,316.67,inf,False
2022,외항사 계,9642655.0,73244.0,6981891.0,1054425.0,0.7241,95.32,,,,False
2023,외항사 계,27300434.0,141268.0,21117455.0,1198037.0,0.7735,149.49,202.46,92.87,183.12,False
2024,외항사 계,34468262.0,179203.0,27698844.0,1358624.0,0.8036,154.57,31.17,26.85,26.26,False
2025,외항사 계,36156220.0,189080.0,30149463.0,1458418.0,0.8339,159.45,8.85,5.51,4.9,False
2026,외항사 계,25331003.0,131302.0,21567018.0,1031023.0,0.8514,164.26,-28.47,-30.56,-29.94,False
2022,우즈베키스탄항공(UZB),105298.0,716.0,73399.0,10513.0,0.6971,102.51,,,,False
2023,우즈베키스탄항공(UZB),179304.0,804.0,139999.0,7689.0,0.7808,174.13,90.74,12.29,70.28,False
2024,우즈베키스탄항공(UZB),180614.0,726.0,158816.0,6840.0,0.8793,218.75,13.44,-9.7,0.73,False
2025,우즈베키스탄항공(UZB),179310.0,724.0,156362.0,6454.0,0.872,215.97,-1.55,-0.28,-0.72,False
2026,우즈베키스탄항공(UZB),120544.0,482.0,107600.0,4906.0,0.8926,223.24,-31.19,-33.43,-32.77,False
2022,우크라이나에어라인(UKL),4624.0,18.0,1399.0,229.0,0.3026,77.72,,,,False
2022,웨스턴글로벌항공(WGN),0.0,45.0,0.0,1.0,0.0,0.0,,,,False
2025,웨스턴글로벌항공(WGN),0.0,57.0,0.0,3116.0,0.0,0.0,,26.67,,False
2026,웨스턴글로벌항공(WGN),0.0,76.0,0.0,4378.0,0.0,0.0,,33.33,,False
2024,웨스트젯 항공(WJA),46080.0,144.0,44251.0,1899.0,0.9603,307.3,,,,False
2025,웨스트젯 항공(WJA),103040.0,322.0,98163.0,3989.0,0.9527,304.85,121.83,123.61,123.61,False
2026,웨스트젯 항공(WJA),71680.0,224.0,68015.0,2826.0,0.9489,303.64,-30.71,-30.43,-30.43,False
2022,유나이티드항공(UAL),182093.0,749.0,150289.0,13485.0,0.8253,200.65,,,,False
2023,유나이티드항공(UAL),284049.0,1080.0,259876.0,18479.0,0.9149,240.63,72.92,44.19,55.99,False
2024,유나이티드항공(UAL),339223.0,1274.0,287160.0,19904.0,0.8465,225.4,10.5,17.96,19.42,False
2025,유나이티드항공(UAL),373592.0,1444.0,330122.0,24609.0,0.8836,228.62,14.96,13.34,10.13,False
2026,유나이티드항공(UAL),245178.0,954.0,221807.0,16808.0,0.9047,232.5,-32.81,-33.93,-34.37,False
2022,유피에스화물항공(UPS),0.0,5053.0,0.0,60222.0,0.0,0.0,,,,False
2023,유피에스화물항공(UPS),0.0,2808.0,0.0,47342.0,0.0,0.0,,-44.43,,False
2024,유피에스화물항공(UPS),0.0,2872.0,0.0,47332.0,0.0,0.0,,2.28,,False
2025,유피에스화물항공(UPS),0.0,3029.0,0.0,46916.0,0.0,0.0,,5.47,,False
2026,유피에스화물항공(UPS),0.0,2018.0,0.0,31691.0,0.0,0.0,,-33.38,,False
2023,이스타항공(ESR),2153844.0,11401.0,2008793.0,9710.0,0.9327,176.19,,,,True
2024,이스타항공(ESR),5040639.0,26723.0,4541639.0,28125.0,0.901,169.95,126.09,134.39,134.03,True
2025,이스타항공(ESR),6329790.0,33600.0,5673958.0,40579.0,0.8964,168.87,24.93,25.73,25.58,True
2026,이스타항공(ESR),5063589.0,26837.0,4685266.0,38131.0,0.9253,174.58,-17.43,-20.13,-20.0,True
2022,이지니스항공(EZA),0.0,8.0,0.0,114.0,0.0,0.0,,,,False
2023,이지니스항공(EZA),0.0,5.0,0.0,65.0,0.0,0.0,,-37.5,,False
2022,인트라아시아 항공(TMG),0.0,2.0,0.0,5.0,0.0,0.0,,,,False
2023,인트라아시아 항공(TMG),0.0,4.0,0.0,11.0,0.0,0.0,,100.0,,False
2024,인트라아시아 항공(TMG),0.0,4.0,0.0,7.0,0.0,0.0,,0.0,,False
2025,인트라아시아 항공(TMG),0.0,1.0,0.0,2.0,0.0,0.0,,-75.0,,False
